Country,Year,OFR_forecast,PriceIndex_forecast
Bangladesh,2024,2316.0798957408924,504.35143690547244
Bangladesh,2025,2346.0269213590122,507.74366627309655
Barbados,2019,57.70094297260889,179.18390263636348
Barbados,2020,57.08791316061772,178.23708408783398
Barbados,2021,56.47488334862654,177.29026553930444
Barbados,2022,55.861853536635365,176.34344699077494
Barbados,2023,55.24882372464419,175.39662844224543
Barbados,2024,54.635793912653014,174.44980989371592
Barbados,2025,54.02276410066184,173.5029913451864
Belarus,2019,52.7593653250774,402.3543970457806
Belarus,2020,53.52399380804953,405.2912904548739
Belarus,2021,54.28862229102167,408.22818386396716
Belarus,2022,55.05325077399381,411.16507727306055
Belarus,2023,55.817879256965945,414.1019706821538
Belarus,2024,56.58250773993808,417.0388640912471
Belarus,2025,57.347136222910216,419.97575750034036
Belgium,2019,38.69369460112812,65.17451010317073
Belgium,2020,37.80519742143432,64.43472456906599
Belgium,2021,36.91670024174053,63.69493903496127
Belgium,2022,36.028203062046735,62.95515350085655
Belgium,2023,35.13970588235294,62.21536796675182
Belgium,2024,34.25120870265914,61.47558243264709
Belgium,2025,33.36271152296535,60.73579689854236
Belize,2019,54962.61029411764,6806.618870652332
Belize,2020,55757.72058823529,6856.2111666520805
Belize,2021,56552.83088235294,6905.803462651829
Belize,2022,57347.94117647058,6955.395758651578
Belize,2023,58143.05147058823,7004.988054651327
Belize,2024,58938.161764705874,7054.580350651076
Belize,2025,59733.272058823524,7104.172646650824
Benin,2019,505.5041443850268,268.55731102324194
Benin,2020,511.3810160427808,270.1275304221832
Benin,2021,517.2578877005349,271.6977498211246
Benin,2022,523.1347593582889,273.26796922006594
Benin,2023,529.0116310160429,274.83818861900727
Benin,2024,534.8885026737969,276.40840801794855
Benin,2025,540.7653743315509,277.9786274168899
Bermuda,2019,70.37058823529412,146.66010899566024
Bermuda,2020,69.94117647058823,146.21399924289204
Bermuda,2021,69.51176470588236,145.76788949012388
Bermuda,2022,69.08235294117647,145.3217797373557
Bermuda,2023,68.65294117647059,144.87566998458755
Bermuda,2024,68.2235294117647,144.42956023181938
Bermuda,2025,67.79411764705883,143.9834504790512
Bhutan,2019,440.9411764705883,441.3240249213561
